link_origem,estacao_candidata,distancia_km,cobre_demanda
0,0,0.0,Sim
0,1,0.39,Sim
0,2,1.98,Sim
0,3,1.45,Sim
0,8,2.63,Sim
0,9,1.8,Sim
0,10,1.93,Sim
0,11,2.51,Sim
0,12,2.78,Sim
0,13,2.83,Sim
0,14,2.72,Sim
1,1,0.0,Sim
1,0,0.39,Sim
1,2,1.88,Sim
1,3,1.32,Sim
1,8,2.98,Sim
1,9,2.15,Sim
1,10,1.54,Sim
1,11,2.15,Sim
1,12,2.91,Sim
1,13,2.87,Sim
1,14,2.53,Sim
2,2,0.0,Sim
2,0,1.98,Sim
2,1,1.88,Sim
2,3,0.57,Sim
2,4,2.77,Sim
2,5,2.18,Sim
2,9,2.47,Sim
2,10,2.14,Sim
2,11,1.97,Sim
3,3,0.0,Sim
3,0,1.45,Sim
3,1,1.32,Sim
3,2,0.57,Sim
3,5,2.58,Sim
3,9,2.3,Sim
3,10,1.71,Sim
3,11,1.75,Sim
4,4,0.0,Sim
4,2,2.77,Sim
4,5,0.66,Sim
4,8,2.18,Sim
4,9,2.44,Sim
5,5,0.0,Sim
5,2,2.18,Sim
5,3,2.58,Sim
5,4,0.66,Sim
5,8,2.38,Sim
5,9,2.41,Sim
6,6,0.0,Sim
6,7,0.69,Sim
7,7,0.0,Sim
7,6,0.69,Sim
8,8,0.0,Sim
8,0,2.63,Sim
8,1,2.98,Sim
8,4,2.18,Sim
8,5,2.38,Sim
8,9,0.83,Sim
9,9,0.0,Sim
9,0,1.8,Sim
9,1,2.15,Sim
9,2,2.47,Sim
9,3,2.3,Sim
9,4,2.44,Sim
9,5,2.41,Sim
9,8,0.83,Sim
10,10,0.0,Sim
10,0,1.93,Sim
10,1,1.54,Sim
10,2,2.14,Sim
10,3,1.71,Sim
10,11,0.84,Sim
10,14,2.41,Sim
11,11,0.0,Sim
11,0,2.51,Sim
11,1,2.15,Sim
11,2,1.97,Sim
11,3,1.75,Sim
11,10,0.84,Sim
12,12,0.0,Sim
12,0,2.78,Sim
12,1,2.91,Sim
12,13,0.68,Sim
12,14,2.3,Sim
13,13,0.0,Sim
13,0,2.83,Sim
13,1,2.87,Sim
13,12,0.68,Sim
13,14,1.7,Sim
14,14,0.0,Sim
14,0,2.72,Sim
14,1,2.53,Sim
14,10,2.41,Sim
14,12,2.3,Sim
14,13,1.7,Sim
